variable_id,description,table_id(s)
abs550aer,Ambient Aerosol Absorption Optical Thickness at 550nm [1],AERmon
acabfIs,Ice Sheet Surface Mass Balance Flux [kg m-2 s-1],LImon
acabf,Surface Mass Balance Flux [kg m-2 s-1],"ImonAnt, ImonGre"
agesno,Mean Age of Snow [day],"Eday, LImon"
agessc,Sea Water Age Since Surface Contact [yr],"Omon, Odec"
airmass,Vertically Integrated Mass Content of Air in Layer [kg m-2],AERmon
albc,Canopy Albedo [1],Eday
albisccp,ISCCP Mean Cloud Albedo [1],CFday
albsn,Snow Albedo [1],Eday
aod550volso4,Aerosol Optical Depth at 550nm Due to Stratospheric Volcanic Aerosols [1e-09],Eday
arag,Aragonite Concentration [mol m-3],Oyr
aragos,Surface Aragonite Concentration [mol m-3],Omon
areacella,Grid-Cell Area for Atmospheric Grid Variables [m2],fx
areacello,Grid-Cell Area for Ocean Variables [m2],Ofx
areacellr,Grid-Cell Area for River Model Variables [m2],fx
ares,Aerodynamic Resistance [s m-1],Eday
bacc,Bacterial Carbon Concentration [mol m-3],"Omon, Oyr"
baccos,Surface Bacterial Carbon Concentration [mol m-3],Omon
baresoilFrac,Bare Soil Percentage Area Coverage [%],Lmon
basin,Region Selection Index [1],Ofx
bddtalk,Rate of Change of Alkalinity Due to Biological Activity [mol m-3 s-1],Oyr
bddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity [mol m-3 s-1],Oyr
bddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity [mol m-3 s-1],Oyr
bddtdin,Rate of Change of Nitrogen Nutrient Due to Biological Activity [mol m-3 s-1],Oyr
bddtdip,Rate of Change of Dissolved Phosphorus Due to Biological Activity [mol m-3 s-1],Oyr
bddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity [mol m-3 s-1],Oyr
bfe,Mole Concentration of Particulate Organic Matter expressed as Iron in sea water [mol m-3],"Omon, Oyr"
bfeos,Surface Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water [mol m-3],Omon
bigthetaoga,Global Average Sea Water Conservative Temperature [degC],"Omon, Odec"
bigthetao,Sea Water Conservative Temperature [degC],Omon
bldep,Boundary Layer Depth [m],"6hrPlev, AERmon"
bry,Total Inorganic Bromine Volume Mixing Ratio [mol mol-1],AERmonZ
bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in sea water [mol m-3],"Omon, Oyr"
bsios,Surface Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water [mol m-3],Omon
burntFractionAll,Percentage of Entire Grid cell that is Covered by Burnt Vegetation (All Classes) [%],Lmon
c13Land,Mass of 13C in All Terrestrial Carbon Pools [kg m-2],Emon
c13Litter,Mass of 13C in Litter Pool [kg m-2],Emon
c13Soil,Mass of 13C in Soil Pool [kg m-2],Emon
c13Veg,Mass of 13C in Vegetation [kg m-2],Emon
c14Land,Mass of 14C in All Terrestrial Carbon Pools [kg m-2],Emon
c14Litter,Mass of 14C in Litter Pool [kg m-2],Emon
c14Soil,Mass of 14C in Soil Pool [kg m-2],Emon
c14Veg,Mass of 14C in Vegetation [kg m-2],Emon
c2h2,C2H2 Volume Mixing Ratio [mol mol-1],AERmon
c2h6,C2H6 Volume Mixing Ratio [mol mol-1],AERmon
c3h6,C3H6 volume mixing ratio [mol mol-1],AERmon
c3h8,C3H8 volume mixing ratio [mol mol-1],AERmon
c3PftFrac,Percentage Cover by C3 Plant Functional Type [%],Lmon
c4PftFrac,Percentage Cover by C4 Plant Functional Type [%],Lmon
calc,Calcite Concentration [mol m-3],"Omon, Oyr"
calcos,Surface Calcite Concentration [mol m-3],Omon
ccb,Air Pressure at Convective Cloud Base [Pa],"CFsubhr, CFday, Amon"
cct,Air Pressure at Convective Cloud Top [Pa],"CFsubhr, CFday, Amon"
cCwd,Carbon Mass in Coarse Woody Debris [kg m-2],Lmon
cdnc,Cloud Liquid Droplet Number Concentration [m-3],AERmon
cfadDbze94,CloudSat Radar Reflectivity CFAD [1],"E3hrPt, Emon"
cfadLidarsr532,CALIPSO Scattering Ratio CFAD [1],"E3hrPt, Emon"
cfc113global,Global Mean Mole Fraction of CFC113 [1e-12],Amon
cfc11global,Global Mean Mole Fraction of CFC11 [1e-12],Amon
cfc11,Mole Concentration of CFC11 in Sea Water [mol m-3],"Omon, Oyr"
cfc12global,Global Mean Mole Fraction of CFC12 [1e-12],Amon
cfc12,Mole Concentration of CFC12 in Sea water [mol m-3],"Omon, Oyr"
ch3coch3,CH3COCH3 volume mixing ratio [mol mol-1],AERmon
ch4global,Global Mean Mole Fraction of CH4 [1e-09],Amon
ch4,Mole Fraction of CH4 [mol mol-1],"AERmon, AERmonZ, Amon"
cheaqpso4,Aqueous-Phase Production Rate of SO4 [kg m-2 s-1],AERmon
chegpso4,Gas-Phase Production Rate of SO4 [kg m-2 s-1],AERmon
chepasoa,Total Net Production of Anthropogenic Secondary Organic Aerosol [kg m-2 s-1],AERmon
chepsoa,Chemical Production of Dry Aerosol Secondary Organic Matter [kg m-2 s-1],AERmon
chlcalc,Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water [kg m-3],Omon
chlcalcos,Surface Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water [kg m-3],Omon
chldiat,Mass Concentration of Diatoms expressed as Chlorophyll in Sea Water [kg m-3],"Omon, Oyr"
chldiatos,Surface Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water [kg m-3],Omon
chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water [kg m-3],"Omon, Oyr"
chldiazos,Surface Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water [kg m-3],Omon
chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water [kg m-3],"Omon, Oyr"
chlmisc,Mass Concentration of Other Phytoplankton expressed as Chlorophyll in Sea Water [kg m-3],"Omon, Oyr"
chlmiscos,Surface Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water [kg m-3],Omon
chlos,Surface Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water [kg m-3],"Oday, Omon"
chlpico,Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water [kg m-3],"Omon, Oyr"
chlpicoos,Surface Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water [kg m-3],Omon
ci,Fraction of Time Convection Occurs in Cell [1],"CFsubhr, CF3hr, Amon"
cLand,Total Carbon in All Terrestrial Carbon Pools [kg m-2],Emon
clayfrac,Clay Fraction [1],Efx
clcalipso2,CALIPSO Cloud Cover Percentage Undetected by CloudSat (as Percentage of Area Covered) [%],E3hrPt
clcalipso,CALIPSO Percentage Cloud Cover [%],"E3hrPt, CFday, CFmon"
clcalipsoice,CALIPSO Ice Cloud Percentage [%],Emon
clcalipsoliq,CALIPSO Liquid Cloud Percentage [%],Emon
clc,Convective Cloud Area Percentage [%],"CF3hr, CFmon"
cldicemxrat,Cloud Ice Mixing Ratio [1],"6hrPlevPt, Emon"
cldnci,Ice Crystal Number Concentration of Cloud Tops [m-3],Emon
cldncl,Cloud Droplet Number Concentration of Cloud Tops [m-3],Emon
cldnvi,Column Integrated Cloud Droplet Number [m-2],Emon
cldwatmxrat,Cloud Water Mixing Ratio [1],"6hrPlevPt, Emon"
cLeaf,Carbon Mass in Leaves [kg m-2],Lmon
clhcalipso,CALIPSO High Level Cloud Area Percentage [%],"CFday, CFmon"
clic,Mass Fraction of Convective Cloud Ice [1],"CF3hr, CFmon"
cli,Mass Fraction of Cloud Ice [kg kg-1],"CFsubhr, Amon"
climodis,MODIS Ice Cloud Area Percentage [%],Emon
clisccp,ISCCP Cloud Area Percentage [%],CFmon
clis,Mass Fraction of Stratiform Cloud Ice [1],"CF3hr, CFmon"
cLitterAbove,Carbon Mass in Above-Ground Litter [kg m-2],Lmon
cLitterBelow,Carbon Mass in Below-Ground Litter [kg m-2],Lmon
cLitter,Carbon Mass in Litter Pool [kg m-2],Lmon
cLitterCwd,Carbon Mass in Coarse Woody Debris [kg m-2],Emon
cLitterGrass,Carbon Mass in Litter on Grass Tiles [kg m-2],Emon
cLitterSubSurf,Carbon Mass in Below-Ground Litter [kg m-2],Emon
cLitterSurf,Carbon Mass in Above-Ground Litter [kg m-2],Emon
cLitterTree,Carbon Mass in Litter on Tree Tiles [kg m-2],Emon
clivic,Convective Ice Water Path [kg m-2],Eday
clivi,Ice Water Path [kg m-2],"CFsubhr, CF3hr, CFday, Amon"
cllcalipso,CALIPSO Low Level Cloud Cover Percentage [%],"E3hrPt, CFday, CFmon"
clmcalipso,CALIPSO Mid Level Cloud Cover Percentage [%],"E3hrPt, CFday"
clmisr,Percentage Cloud Cover as Calculated by the MISR Simulator (Including Error Flag) [%],"E3hrPt, Emon"
cl,Percentage Cloud Cover [%],"CFsubhr, CFday, Amon"
cls,Percentage Cover of Stratiform Cloud [%],"CF3hr, CFmon"
cltcalipso,CALIPSO Total Cloud Cover Percentage [%],"E3hrPt, CFday"
cltc,Convective Cloud Cover Percentage [%],"CF3hr, AERmon"
cltisccp,ISCCP Total Cloud Cover Percentage [%],"CFday, CFmon"
cltmodis,MODIS Total Cloud Cover Percentage [%],Emon
clt,Total Cloud Cover Percentage [%],"CFsubhr, CF3hr, 3hr, day, Amon"
clwc,Mass Fraction of Convective Cloud Liquid Water [1],"CF3hr, CFmon"
clw,Mass Fraction of Cloud Liquid Water [kg kg-1],"CFsubhr, Amon"
clwmodis,MODIS Liquid Cloud Percentage [%],Emon
clws,Mass Fraction of Stratiform Cloud Liquid Water [1],"CF3hr, CFmon"
clwvic,Convective Condensed Water Path [kg m-2],"Eday, Emon"
clwvi,Condensed Water Path [kg m-2],"CFsubhr, Amon"
cly,Total Inorganic Chlorine Volume Mixing Ratio [mol mol-1],AERmonZ
cMisc,Carbon Mass in Other Living Compartments on Land [kg m-2],Emon
cnc,Canopy Covered Area Percentage [%],Eday
co23D,3D-Field of Transported CO2 [kg kg-1],Emon
co2mass,Total Atmospheric Mass of CO2 [kg],Amon
co2,Mole Fraction of CO2 [mol mol-1],"AERmon, Amon"
co2s,Atmosphere CO2 [1e-06],Emon
co3,Carbonate Ion Concentration [mol m-3],"Omon, Oyr"
co3nat,Natural Carbonate Ion Concentration [mol m-3],Omon
co3os,Surface Carbonate Ion Concentration [mol m-3],Omon
co3satarag,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water [mol m-3],"Omon, Oyr"
co3sataragos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water [mol m-3],Omon
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water [mol m-3],"Omon, Oyr"
co3satcalcos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water [mol m-3],Omon
co,CO Volume Mixing Ratio [mol mol-1],AERmon
cod,Cloud Optical Depth [1],"AERday, AERmon"
conccmcn,Number Concentration Coarse Mode Aerosol [m-3],Emon
conccn,Aerosol Number Concentration [m-3],Emon
concdust,Concentration of Dust [kg m-3],Emon
concnmcn,Number Concentration of Nucleation Mode Aerosol [m-3],Emon
cOther,"Carbon Mass in Vegetation Components Other than Leaves, Stems and Roots [kg m-2]",Emon
cProduct,Carbon Mass in Products of Land-Use Change [kg m-2],Lmon
cRoot,Carbon Mass in Roots [kg m-2],Lmon
cropFracC3,Percentage Cover by C3 Crops [%],Emon
cropFracC4,Percentage Cover by C4 Crops [%],Emon
cropFrac,Percentage Crop Cover [%],Lmon
cSoilAbove1m,Carbon Mass in Soil Pool Above 1m Depth [kg m-2],Emon
cSoil,Carbon Mass in Model Soil Pool [kg m-2],Emon
cSoilFast,Carbon Mass in Fast Soil Pool [kg m-2],Lmon
cSoilGrass,Carbon Mass in Soil on Grass Tiles [kg m-2],Emon
cSoilLevels,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level) [kg m-2],Emon
cSoilMedium,Carbon Mass in Medium Soil Pool [kg m-2],Lmon
cSoilPools,Carbon Mass in Each Model Soil Pool (Summed over Vertical Levels) [kg m-2],Emon
cSoilSlow,Carbon Mass in Slow Soil Pool [kg m-2],Lmon
cSoilTree,Carbon Mass in Soil on Tree Tiles [kg m-2],Emon
cStem,Carbon Mass in Stem [kg m-2],Emon
cTotFireLut,"Total Carbon Loss from Natural and Managed Fire on Land-Use Tile, Including Deforestation Fires [kg m-2 s-1]",Emon
cVeg,Carbon Mass in Vegetation [kg m-2],Lmon
cVegGrass,Carbon Mass in Vegetation on Grass Tiles [kg m-2],Emon
cVegShrub,Carbon Mass in Vegetation on Shrub Tiles [kg m-2],Emon
cVegTree,Carbon Mass in Vegetation on Tree Tiles [kg m-2],Emon
cWood,Carbon Mass in Wood [kg m-2],Emon
cw,Total Canopy Water Storage [kg m-2],Eday
darag,Aragonite Dissolution [mol m-3 s-1],Oyr
dcalc,Calcite Dissolution [mol m-3 s-1],Oyr
depdust,Total Deposition Rate of Dust [kg m-2 s-1],Emon
deptho,Sea Floor Depth Below Geoid [m],Ofx
detoc,Detrital Organic Carbon Concentration [mol m-3],"Omon, Oyr"
detocos,Surface Detrital Organic Carbon Concentration [mol m-3],Omon
dfe,Dissolved Iron Concentration [mol m-3],"Omon, Oyr"
dfeos,Surface Dissolved Iron Concentration [mol m-3],Omon
diftrblo,Ocean Tracer Diffusivity due to Parameterized Mesoscale Advection [m2 s-1],"Oclim, Oyr"
diftrelo,Ocean Tracer Epineutral Laplacian Diffusivity [m2 s-1],"Oclim, Oyr"
difvho,Ocean Vertical Heat Diffusivity [m2 s-1],"Oclim, Oyr"
difvmto,Ocean Vertical Momentum Diffusivity Due to Tides [m2 s-1],Oclim
difvso,Ocean Vertical Salt Diffusivity [m2 s-1],"Oclim, Oyr"
difvtrto,Ocean Vertical Tracer Diffusivity Due to Tides [m2 s-1],Oclim
dispkevfo,Ocean Kinetic Energy Dissipation per Unit Area Due to Vertical Friction [W m-2],Oclim
dispkexyfo,Ocean Kinetic Energy Dissipation per Unit Area Due to XY Friction [W m-2],Oclim
dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration [mol m-3],"Omon, Oyr"
dissi14cabioos,Surface Abiotic Dissolved Inorganic Carbon-14 Concentration [mol m-3],Omon
dissicabio,Abiotic Dissolved Inorganic Carbon Concentration [mol m-3],"Omon, Oyr"
dissicabioos,Surface Abiotic Dissolved Inorganic Carbon Concentration [mol m-3],Omon
dissic,Dissolved Inorganic Carbon Concentration [mol m-3],"Omon, Oyr"
dissicnat,Natural Dissolved Inorganic Carbon Concentration [mol m-3],"Omon, Oyr"
dissicnatos,Surface Natural Dissolved Inorganic Carbon Concentration [mol m-3],Omon
dissicos,Surface Dissolved Inorganic Carbon Concentration [mol m-3],Omon
dissoc,Dissolved Organic Carbon Concentration [mol m-3],"Omon, Oyr"
dissocos,Surface Dissolved Organic Carbon Concentration [mol m-3],Omon
dms,Dimethyl Sulphide (DMS) Mole Fraction [mol mol-1],AERmon
dmso,Mole Concentration of Dimethyl Sulphide in Sea Water [mol m-3],Omon
dmsos,Surface Mole Concentration of Dimethyl Sulphide in Sea Water [mol m-3],Omon
dpco2abio,Abiotic Delta Pco Partial Pressure [Pa],Omon
dpco2,Delta CO2 Partial Pressure [Pa],Omon
dpco2nat,Natural Delta CO2 Partial Pressure [Pa],Omon
dpo2,Delta O2 Partial Pressure [Pa],Omon
drivw,Change in River Storage [kg m-2],Eday
drybc,Dry Deposition Rate of Black Carbon Aerosol Mass [kg m-2 s-1],AERmon
drydust,Dry Deposition Rate of Dust [kg m-2 s-1],AERmon
drynh3,Dry Deposition Rate of NH3 [kg m-2 s-1],AERmon
drynh4,Dry Deposition Rate of NH4 [kg m-2 s-1],AERmon
drynoy,Dry Deposition Rate of NOy [kg m-2 s-1],AERmon
dryo3,Dry Deposition Rate of O3 [kg m-2 s-1],AERmon
dryoa,Dry Deposition Rate of Dry Aerosol Total Organic Matter [kg m-2 s-1],AERmon
dryso2,Dry Deposition Rate of SO2 [kg m-2 s-1],AERmon
dryso4,Dry Deposition Rate of SO4 [kg m-2 s-1],AERmon
dryss,Dry Deposition Rate of sea-salt aerosol [kg m-2 s-1],AERmon
dslw,Change in Soil Moisture [kg m-2],Eday
dsn,Change in Snow Water Equivalent [kg m-2],Eday
dsw,Change in Surface Water Storage [kg m-2],Eday
dtes,Change in Surface Heat Storage [J m-2],Eday
dtesn,Change in Snow and Ice Cold Content [J m-2],Eday
ec550aer,Aerosol Extinction Coefficient [m-1],"6hrLev, Emon"
ec,Interception Evaporation [kg m-2 s-1],Eday
edt,Eddy Diffusivity Coefficient for Temperature [m2 s-1],"CFmon, CFsubhr"
emiaco,Total Emission Rate of Anthropogenic CO [kg m-2 s-1],AERmon
emianox,Total Emission Rate of Anthropogenic NOx [kg m-2 s-1],AERmon
emiaoa,Total Emission Rate of Anthropogenic Organic Aerosol [kg m-2 s-1],AERmon
emibc,Total Emission Rate of Black Carbon Aerosol Mass [kg m-2 s-1],AERmon
emibvoc,Total Emission Rate of Biogenic NMVOC [kg m-2 s-1],AERmon
emico,Total Emission Rate of CO [kg m-2 s-1],AERmon
emidms,Total Emission Rate of DMS [kg m-2 s-1],AERmon
emidust,Total Emission Rate of Dust [kg m-2 s-1],AERmon
emiisop,Total Emission Rate of Isoprene [kg m-2 s-1],AERmon
emilnox,Layer-Integrated Lightning Production of NOx [mol s-1],AERmon
eminh3,Total Emission Rate of NH3 [kg m-2 s-1],AERmon
eminox,Total Emission Rate of NOx [kg m-2 s-1],AERmon
emioa,Primary Emission and Chemical Production of Dry Aerosol Organic Matter [kg m-2 s-1],AERmon
emiso2,Total Emission Rate of SO2 [kg m-2 s-1],AERmon
emiso4,Total Direct Emission Rate of SO4 [kg m-2 s-1],AERmon
emiss,Total Emission Rate of sea-salt aerosol [kg m-2 s-1],AERmon
emivoc,Total Emission Rate of NMVOC [kg m-2 s-1],AERmon
eow,Open Water Evaporation [kg m-2 s-1],Eday
eparag100,Downward Flux of Aragonite [mol m-2 s-1],Omon
epc100,Downward Flux of Particulate Organic Carbon [mol m-2 s-1],Omon
epcalc100,Downward Flux of Calcite [mol m-2 s-1],Omon
epfe100,Downward Flux of Particulate Iron [mol m-2 s-1],Omon
epfy,Northward Component of the Eliassen-Palm Flux [m3 s-2],"EdayZ, EmonZ"
epfz,Upward Component of the Eliassen-Palm Flux [m3 s-2],"EdayZ, EmonZ"
epn100,Downward Flux of Particulate Nitrogen [mol m-2 s-1],Omon
epp100,Downward Flux of Particulate Phosphorus [mol m-2 s-1],Omon
epsi100,Downward Flux of Particulate Silicon [mol m-2 s-1],Omon
es,Bare Soil Evaporation [kg m-2 s-1],Eday
evspsbl,Evaporation Including Sublimation and Transpiration [kg m-2 s-1],Amon
evspsblpot,Potential Evapotranspiration [kg m-2 s-1],"Eday, Emon"
evspsblsoi,Water Evaporation from Soil [kg m-2 s-1],Lmon
evspsblveg,Evaporation from Canopy [kg m-2 s-1],Lmon
evs,Water Evaporation Flux Where Ice Free Ocean over Sea [kg m-2 s-1],Omon
evu,Eddy Viscosity Coefficient for Momentum [m2 s-1],CFmon
exparag,Downward Flux of Aragonite [mol m-2 s-1],Oyr
expcalc,Downward Flux of Calcite [mol m-2 s-1],"Emon, Oyr"
expc,Downward Flux of Particulate Organic Carbon [mol m-2 s-1],"Omon, Oyr"
expfe,Sinking Particulate Iron Flux [mol m-2 s-1],"Emon, Oyr"
expn,Sinking Particulate Organic Nitrogen Flux [mol m-2 s-1],"Emon, Oyr"
expp,Sinking Particulate Organic Phosphorus Flux [mol m-2 s-1],"Emon, Oyr"
expsi,Sinking Particulate Silicon Flux [mol m-2 s-1],"Emon, Oyr"
fAnthDisturb,"Carbon Mass Flux from Vegetation, Litter or Soil Pools into the Atmosphere Due to any Human Activity [kg m-2 s-1]",Emon
fbddtalk,Rate of Change of Biological Alkalinity Due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fbddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fbddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fbddtdin,Rate of Change of Dissolved Inorganic Nitrogen Due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fbddtdip,Rate of Change of Dissolved Inorganic Phosphorus due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fbddtdisi,Rate of Change of Dissolved Inorganic Silicon due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fBNF,Biological Nitrogen Fixation [kg m-2 s-1],Emon
fCLandToOcean,Lateral Transfer of Carbon out of Grid Cell That Eventually Goes into Ocean [kg m-2 s-1],Emon
fco2antt,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kg m-2 s-1],Amon
fco2fos,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2 [kg m-2 s-1],Amon
