,name,id,tags,val/llmse_climax,checkpoint_path
0,superemulatorClimaX_adamw_2bs_0.0005lr_1e-05wd_7seed_20h11m_on_Jan_14_380xx89n,380xx89n,"['6_models', 'climax_frozen', 'early_stopping', 'larger_decoder', 'run2', 'super_emulation']",0.34732290555427847,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/380xx89n/checkpoints/epoch=16-step=11849.ckpt
3,superemulatorCNNLSTM_ClimateBench_adam_2bs_0.0002lr_1e-06wd_7seed_18h57m_on_Jan_14_blfunfkz,blfunfkz,"['6_models', 'conv_lstm', 'decoder', 'early_stopping', 'larger_decoder', 'run2', 'super_emulation']",0.18144196037008903,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/blfunfkz/checkpoints/epoch=99-step=69700.ckpt
7,superemulatorUNet_adam_2bs_0.0002lr_1e-06wd_42seed_17h46m_on_Jan_14_6dplsnd7,6dplsnd7,"['6_models', 'decoder', 'early_stopping', 'larger_decoder', 'run2', 'super_emulation', 'unet']",0.7367637284255792,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/6dplsnd7/checkpoints/epoch=18-step=13243.ckpt
11,superemulatorClimaX_adamw_2bs_0.0005lr_1e-05wd_99seed_16h06m_on_Jan_14_pafpwsu8,pafpwsu8,"['6_models', 'climax', 'early_stopping', 'larger_decoder', 'run2', 'super_emulation']",1.1964090480313296,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/pafpwsu8/checkpoints/epoch=12-step=9061.ckpt
14,NorESM2-LM_MPI-ESM1-2-HR_climax_frozen_tas+pr_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_12h21m_on_Jan_14_cb5uwnnu,cb5uwnnu,"['NorESM2-LM_MPI-ESM1-2-HR', 'climax_frozen', 'finetuning_emulator', 'run2', 'tas+pr']",0.07251690717795004,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/cb5uwnnu/checkpoints/epoch=49-step=2950.ckpt
15,NorESM2-LM_FGOALS-f3-L_climax_frozen_tas+pr_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_12h13m_on_Jan_14_sj730yfb,sj730yfb,"['NorESM2-LM_FGOALS-f3-L', 'climax_frozen', 'finetuning_emulator', 'run2', 'tas+pr']",0.07194813774854486,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/sj730yfb/checkpoints/epoch=49-step=2950.ckpt
18,NorESM2-LM_EC-Earth3_climax_frozen_tas+pr_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_11h47m_on_Jan_14_egi9r3ih,egi9r3ih,"['NorESM2-LM_EC-Earth3', 'climax_frozen', 'finetuning_emulator', 'run2', 'tas+pr']",0.07159715491257165,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/egi9r3ih/checkpoints/epoch=49-step=2950.ckpt
21,NorESM2-LM_BCC-CSM2-MR_climax_frozen_tas+pr_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_11h21m_on_Jan_14_4diuxo97,4diuxo97,"['NorESM2-LM_BCC-CSM2-MR', 'climax_frozen', 'finetuning_emulator', 'run2', 'tas+pr']",0.07168300492180381,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/4diuxo97/checkpoints/epoch=49-step=2950.ckpt
26,NorESM2-LM_MPI-ESM1-2-HR_climax_tas+pr_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_09h01m_on_Jan_14_vo18l501,vo18l501,"['NorESM2-LM_MPI-ESM1-2-HR', 'climax', 'finetuning_emulator', 'run2', 'tas+pr']",0.07826221366568732,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/vo18l501/checkpoints/epoch=49-step=2950.ckpt
28,NorESM2-LM_FGOALS-f3-L_climax_tas+pr_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_08h33m_on_Jan_14_ng5669tm,ng5669tm,"['NorESM2-LM_FGOALS-f3-L', 'climax', 'finetuning_emulator', 'run2', 'tas+pr']",0.07774618022710214,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/ng5669tm/checkpoints/epoch=49-step=2950.ckpt
30,NorESM2-LM_EC-Earth3_climax_tas+pr_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_08h05m_on_Jan_14_48n4jatp,48n4jatp,"['NorESM2-LM_EC-Earth3', 'climax', 'finetuning_emulator', 'run2', 'tas+pr']",0.07863672483481265,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/48n4jatp/checkpoints/epoch=49-step=2950.ckpt
34,NorESM2-LM_BCC-CSM2-MR_climax_tas+pr_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_07h10m_on_Jan_14_mzlktiro,mzlktiro,"['NorESM2-LM_BCC-CSM2-MR', 'climax', 'finetuning_emulator', 'run2', 'tas+pr']",0.08072618623621272,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/mzlktiro/checkpoints/epoch=49-step=2950.ckpt
38,NorESM2-LM_AWI-CM-1-1-MR_climax_tas+pr_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_06h14m_on_Jan_14_athis7yd,athis7yd,"['NorESM2-LM_AWI-CM-1-1-MR', 'climax', 'finetuning_emulator', 'run2', 'tas+pr']",0.08258927285651171,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/athis7yd/checkpoints/epoch=49-step=2950.ckpt
40,NorESM2-LM_MPI-ESM1-2-HR_conv_lstm_tas+pr_run-02CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_06h49m_on_Jan_13_t9h1i1xi,t9h1i1xi,"['NorESM2-LM_MPI-ESM1-2-HR', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",0.09624067924579464,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/t9h1i1xi/checkpoints/epoch=49-step=2950.ckpt
43,NorESM2-LM_FGOALS-f3-L_conv_lstm_tas+pr_run-02CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_06h44m_on_Jan_13_wie3w7us,wie3w7us,"['NorESM2-LM_FGOALS-f3-L', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",0.11764739692762256,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/wie3w7us/checkpoints/epoch=49-step=2950.ckpt
46,NorESM2-LM_BCC-CSM2-MR_conv_lstm_tas+pr_run-02CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_06h39m_on_Jan_13_tcv576nj,tcv576nj,"['NorESM2-LM_BCC-CSM2-MR', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",0.15415069399477055,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/tcv576nj/checkpoints/epoch=49-step=2950.ckpt
49,NorESM2-LM_AWI-CM-1-1-MR_conv_lstm_tas+pr_run-02CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_06h34m_on_Jan_13_bfrb2jpf,bfrb2jpf,"['NorESM2-LM_AWI-CM-1-1-MR', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",0.08851315660834486,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/bfrb2jpf/checkpoints/epoch=49-step=2950.ckpt
53,NorESM2-LM_MPI-ESM1-2-HR_unet_tas+pr_run-02UNet_adam_4bs_0.0002lr_1e-06wd_3423seed_06h14m_on_Jan_13_s3f5y42d,s3f5y42d,"['NorESM2-LM_MPI-ESM1-2-HR', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.07027913612916412,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/s3f5y42d/checkpoints/epoch=49-step=2950.ckpt
55,NorESM2-LM_FGOALS-f3-L_unet_tas+pr_run-02UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_06h01m_on_Jan_13_gn2enysm,gn2enysm,"['NorESM2-LM_FGOALS-f3-L', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.07119668319035077,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/gn2enysm/checkpoints/epoch=49-step=2950.ckpt
59,NorESM2-LM_EC-Earth3_unet_tas+pr_run-02UNet_adam_4bs_0.0002lr_1e-06wd_3423seed_05h36m_on_Jan_13_jhbm2k9p,jhbm2k9p,"['NorESM2-LM_EC-Earth3', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.07095378239087546,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/jhbm2k9p/checkpoints/epoch=49-step=2950.ckpt
61,NorESM2-LM_BCC-CSM2-MR_unet_tas+pr_run-02UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_05h23m_on_Jan_13_lefkc633,lefkc633,"['NorESM2-LM_BCC-CSM2-MR', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.06849106811589692,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/lefkc633/checkpoints/epoch=49-step=2950.ckpt
64,NorESM2-LM_AWI-CM-1-1-MR_unet_tas+pr_run-02UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_05h05m_on_Jan_13_bbiffu38,bbiffu38,"['NorESM2-LM_AWI-CM-1-1-MR', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.06919801982322446,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/bbiffu38/checkpoints/epoch=49-step=2950.ckpt
67,TaiESM1_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_10h09m_on_Jan_11_puq9lsmw,puq9lsmw,"['TaiESM1', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.0749142549547899,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/puq9lsmw/checkpoints/epoch=49-step=2950.ckpt
69,NorESM2-MM_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_09h52m_on_Jan_11_hrdqo6sd,hrdqo6sd,"['NorESM2-MM', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.08301749601090695,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/hrdqo6sd/checkpoints/epoch=49-step=2950.ckpt
73,MRI-ESM2-0_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_09h18m_on_Jan_11_20tykiwq,20tykiwq,"['MRI-ESM2-0', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.08108293335798172,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/20tykiwq/checkpoints/epoch=49-step=2950.ckpt
75,MPI-ESM1-2-HR_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_09h01m_on_Jan_11_1icla5f2,1icla5f2,"['MPI-ESM1-2-HR', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.08891919086468691,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/1icla5f2/checkpoints/epoch=49-step=2950.ckpt
76,INM-CM5-0_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_08h35m_on_Jan_11_iwu0es1s,iwu0es1s,"['INM-CM5-0', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.07821527003251641,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/iwu0es1s/checkpoints/epoch=49-step=2950.ckpt
79,INM-CM4-8_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_08h10m_on_Jan_11_icobhsed,icobhsed,"['INM-CM4-8', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.07411336792090861,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/icobhsed/checkpoints/epoch=49-step=2950.ckpt
84,GFDL-ESM4_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_07h28m_on_Jan_11_v5md2q0e,v5md2q0e,"['GFDL-ESM4', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.19761994898876517,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/v5md2q0e/checkpoints/epoch=49-step=2950.ckpt
87,FGOALS-f3-L_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_07h02m_on_Jan_11_fprd2f35,fprd2f35,"['FGOALS-f3-L', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.12928601078235716,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/fprd2f35/checkpoints/epoch=49-step=2950.ckpt
88,EC-Earth3-Veg-LR_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_06h54m_on_Jan_11_3110polx,3110polx,"['EC-Earth3-Veg-LR', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.11458526085384169,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/3110polx/checkpoints/epoch=49-step=2950.ckpt
92,EC-Earth3_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_06h20m_on_Jan_11_0wwb19iu,0wwb19iu,"['EC-Earth3', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.10938694621634622,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/0wwb19iu/checkpoints/epoch=49-step=2950.ckpt
95,CNRM-CM6-1-HR_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_05h55m_on_Jan_11_99vzegl9,99vzegl9,"['CNRM-CM6-1-HR', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.11478560215663684,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/99vzegl9/checkpoints/epoch=49-step=2950.ckpt
99,CAS-ESM2-0_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_05h21m_on_Jan_11_318hjseo,318hjseo,"['CAS-ESM2-0', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.0880021707804823,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/318hjseo/checkpoints/epoch=49-step=2950.ckpt
101,BCC-CSM2-MR_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_05h04m_on_Jan_11_v3s8igyn,v3s8igyn,"['BCC-CSM2-MR', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.0866099537398976,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/v3s8igyn/checkpoints/epoch=49-step=2950.ckpt
103,AWI-CM-1-1-MR_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_04h47m_on_Jan_11_n6002nel,n6002nel,"['AWI-CM-1-1-MR', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.12428770323462893,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/n6002nel/checkpoints/epoch=49-step=2950.ckpt
108,NorESM2-LM_climax_frozen_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_04h05m_on_Jan_11_j7otlyy4,j7otlyy4,"['NorESM2-LM', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.08397904723353625,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/j7otlyy4/checkpoints/epoch=49-step=2950.ckpt
109,TaiESM1_conv_lstm_tas_run-02CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_21h34m_on_Jan_09_9p06x00c,9p06x00c,"['TaiESM1', 'conv_lstm', 'run2', 'single_emulator', 'tas+pr']",0.225048083018815,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/9p06x00c/checkpoints/epoch=49-step=2950.ckpt
112,NorESM2-MM_conv_lstm_tas_run-02CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_21h30m_on_Jan_09_welhl2d1,welhl2d1,"['NorESM2-MM', 'conv_lstm', 'run2', 'single_emulator', 'tas+pr']",0.19660609640117724,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/welhl2d1/checkpoints/epoch=49-step=2950.ckpt
